Part,Weight,Cost,Link,Material,Purchased Price
Lynskey Model GR 350 / fork / headet and rack,"2,268.37","1,371.78",https://www.ebay.com/itm/167964843031?_trkparms=amclksrc%3DITM%26aid%3D777008%26algo%3DPERSONAL.TOPIC%26ao%3D1%26asc%3D20250528154913%26meid%3D7f1b37e177fa41c8b9df2a29b57046f9%26pid%3D102805%26rk%3D1%26rkt%3D1%26itm%3D167964843031%26pmt%3D0%26noa%3D1%26pg%3D4375194%26algv%3DPersonalizedTopicsV2WithPCatSup_BP%26brand%3DLynskey&_trksid=p4375194.c102805.m162920,Titanium Carbon Fiber,"1,371.78"
Wheel conversion to XDR,"1,675.00",$220.00,<skip>,Aluminum,$220.00
SRAM NX with woldtooth 40t,630.00,$0,<skip>,Aluminum,$0
Helix Race 12-Speed 9-52T Cassette × 1,404.00,349,https://www.ethirteen.com/products/helix-race-12-speed-9-52-cassette?srsltid=AfmBOopD7s2kQ9kP2u8UPqVw69vuUJeOIU3irqCwx8sPOfdAOpflmX81,Aluminum/steel,349
Madrone Gravel Jab Derailleur Purple,325.00,327,https://madronecycles.com/products/gravel-jab-derailleur-purple?variant=48911855714612,Aluminum,327
Surly truck stop bars,331.00,0,<skip>,Aluminum,0
G-One RS Evolution Tubeless Tire - 700c 44mm,"1,030.00",176,https://www.backcountry.com/schwalbe-g-one-rs-evolution-tubeless-tire-700c-schg01z?skid=SCHG01Z-BLPRADRA-S700A,Aluminum,176
Seat post,240.00,0,<skip>,Rubber,0
avid bb7 x2,170.00,0,<skip>,Carbon,0
sram 12 speed chain,268.00,69,https://bikecloset.com/product/sram-pc-xx1-eagle-chain-12sp-126-links-black-with-powerlock-2/?gad_source=1&gad_campaignid=22877163497&gbraid=0AAAAADsM1ab9P-yQjfS-qNsdMOgb3RiKs&gclid=Cj0KCQiArt_JBhCTARIsADQZaymVVp1G1Zsra9aLGF67RCpMJuVuzFNAy2wSFocF49m1EwCHX-vW89MaAsNwEALw_wcB,Alunimum,100
gevenelle,418.00,0,<skip>,Mix,0
wolftooth bb,87.00,130,<skip>,Alumunim,130
